total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
9.53674e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
4.50611e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.423358,0,1,0,8,1,0,8,0,0,0,1,0:1;
7.60555e-05,0,0,0,1.19209e-06,1,0,1,0,1,0,0,0,0,0,0.01,0.367664,1,1,0,10,1,0,8,0,0,0,1,0:1;
0.000108957,0,0,0,4.05312e-06,7,1.90735e-06,7,9.53674e-07,7,1.19209e-06,0,0,0,0,0.01,0.30927,1,7,0,970,6,0,64,0,0,0,1,0:1;1:6;
0.000164032,0,0,0,6.91414e-06,40,4.76837e-06,37,5.48363e-06,37,4.05312e-06,0,9.29832e-06,0,0,0.01,0.301971,1,37,0,5770,36,0,512,0,0,0,1,0:1;1:36;
0.00124598,0,0,0,0.000280142,1497,0.000159979,1064,0.000164032,1064,0.000148773,0,0.000137091,0,0,0.01,0.287372,1,1064,0,170090,1063,0,16384,0,0,0,1,0:1;1:1063;
0.00131893,0,0,0,0.000287056,1552,0.000170946,1116,0.000172853,1116,0.00015378,0,0.000141382,0,0,0.01,0.280073,1,1116,0,178410,1115,0,16384,0,0,0,1,0:1;1:1115;
0.00139499,0,0,0,0.000292063,1615,0.000179768,1179,0.000179768,1179,0.000161648,0,0.000153542,0,0,0.01,0.265474,1,1179,0,188490,1178,0,16384,0,0,0,1,0:1;1:1178;
0.00173903,0,0,0,0.000343084,2025,0.000224352,1583,0.000231266,1582,0.000205994,0,0.000210047,0,0,0.01,0.250876,1,1582,0,252970,1581,0,16384,0,0,0,1,0:1;1:1581;
0.00479293,0,0,0,0.000901461,5989,0.00066185,5108,0.000897169,5100,0.000590801,0,0.000651121,0,0,0.01,0.243577,1,5100,0,815850,5099,0,65536,0,0,0,1,0:1;1:5099;
0.0250001,0.0249269,0,0.024924,0.00396466,25977,0.003371,24819,0.00561619,24791,0.00401783,1,0.00351334,0,0,0.01,0.243577,1,24791,1,3966410,24790,1,262144,0,0,0,1,1:24790;
0.027087,0.0249269,0,0.024924,0.00396466,25977,0.003371,24819,0.00561619,24791,0.00401783,1,0.00351334,0,0,0.01,0.243577,1,24791,1,3965162,24790,1,262144,0,0,0,1,1:24764;
0.098793,0.0921669,2.09808e-05,0.0921569,0.0149453,106627,0.0132208,100515,0.0219626,99951,0.0130925,4,0.0157247,0,0,0.0345985,0.238978,2,99951,4,15990768,99946,1,1048576,0,0,0,1,1:24761;2:75160;
0.115546,0.113261,2.09808e-05,0.113249,0.0172906,125701,0.0154817,119096,0.0262129,118511,0.0149868,5,0.0184467,0,0,0.0345985,0.238978,2,118511,5,18960366,118506,1,1048576,0,0,0,1,1:24760;2:93720;
0.123418,0.113261,2.09808e-05,0.113249,0.0172906,125701,0.0154817,119096,0.0262129,118511,0.0149868,5,0.0184467,0,0,0.0345985,0.238978,2,118511,5,18935790,118506,1,1048576,0,0,0,1,1:24516;2:93452;
0.16566,0.153244,4.81606e-05,0.153224,0.0243368,164598,0.021235,153908,0.0348542,153253,0.0205023,7,0.0251067,0,0,0.0418978,0.22438,2,153253,7,24494512,153245,1,2097152,0,0,0,1,1:24514;2:128194;
