total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
1.19209e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
9.5129e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.45,0,1,0,8,1,0,8,0,0,0,1,0:1;
0.000152111,0,0,0,0,2,9.53674e-07,2,0,2,1.19209e-06,0,9.53674e-07,0,0,0.001,0.409333,1,2,0,170,1,0,8,0,0,0,1,0:1;1:1;
0.000212193,0,0,0,9.53674e-07,3,1.90735e-06,3,1.19209e-06,3,1.19209e-06,0,9.53674e-07,0,0,0.001,0.359333,1,3,0,330,2,0,16,0,0,0,1,0:1;1:2;
0.00030303,0,0,0,1.19209e-05,30,8.10623e-06,29,9.29832e-06,29,2.14577e-06,0,5.00679e-06,0,0,0.001,0.351,1,29,0,4490,28,0,256,0,0,0,1,0:1;1:28;
0.000429153,0,0,0,2.71797e-05,84,1.62125e-05,83,2.12193e-05,83,1.64509e-05,0,1.50204e-05,0,0,0.001,0.326,1,83,0,13130,82,0,1024,0,0,0,1,0:1;1:82;
0.000548124,0,0,0,4.00543e-05,131,2.7895e-05,130,2.7895e-05,130,2.55108e-05,0,2.38419e-05,0,0,0.001,0.317667,1,130,0,20650,129,0,2048,0,0,0,1,0:1;1:129;
0.0106111,0,0,0,0.00203252,7821,0.00149775,7098,0.00197244,7098,0.00142264,0,0.001472,0,0,0.001,0.301,1,7098,0,1135530,7097,0,65536,0,0,0,1,0:1;1:7097;
0.027477,0,0,0,0.00457072,18518,0.0040524,17504,0.00604844,17504,0.00370169,0,0.00373387,0,0,0.001,0.292667,1,17504,0,2800490,17503,0,262144,0,0,0,1,0:1;1:17503;
0.050503,0.0503521,0,0.0503471,0.00775027,28373,0.00779843,27359,0.0124555,27360,0.00701141,1,0.00696158,0,0,0.001,0.292667,1,27360,1,4377450,27359,1,262144,0,0,0,1,1:27359;
0.0531492,0.0503521,0,0.0503471,0.00775027,28373,0.00779843,27359,0.0124555,27360,0.00701141,1,0.00696158,0,0,0.001,0.292667,1,27360,1,4355418,27359,1,262144,0,0,0,1,1:26900;
0.344874,0.326284,9.63211e-05,0.326248,0.0516062,229415,0.0496335,217007,0.0790577,217007,0.0448055,8,0.0586717,0,0,0.002,0.285333,2,217007,8,34698944,216998,1,2097152,0,0,0,1,1:26893;2:189647;
0.371576,0.36859,9.63211e-05,0.368551,0.0554924,245778,0.0532966,233210,0.0858707,233211,0.0483601,9,0.063091,0,0,0.002,0.285333,2,233211,9,37291582,233202,1,2097152,0,0,0,1,1:26892;2:205851;
0.39224,0.36859,9.63211e-05,0.368551,0.0554924,245778,0.0532966,233210,0.0858707,233211,0.0483601,9,0.063091,0,0,0.002,0.285333,2,233211,9,37255342,233202,1,2097152,0,0,0,1,1:26801;2:205187;
